DATAFLOW,LAST UPDATE,freq,waste,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2005,43.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2006,49.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2007,51.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2008,56.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2009,55.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2010,55.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2011,58.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2012,59.3,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2013,58,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2014,57.4,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2015,60.9,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2016,64.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2017,65.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2018,70.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FI,2019,70.6,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FR,1997,39.7,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FR,1998,41.5,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FR,1999,42.1,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FR,2000,42.2,
ESTAT:ENV_WASPACR(1.0),25/03/22 11:00:00,A,W1501,RT,FR,2001,44,
